numeroPokedex,nome,tipos,hp,ataque,defesa,especial,velocidade,ataques,fraquezas,proximasEvolucoes
103,Exeggutor,Planta;Psíquico,95,95,85,125,55,Ovo Bomba;Psíquico;Raio Solar,Fogo;Gelo;Voador;Inseto;Fantasma;Sombrio,
104,Cubone,Terra,50,50,95,40,35,Rosnar;Osso Bumerangue;Fúria,Água;Gelo;Planta,Marowak
105,Marowak,Terra,60,80,110,50,45,Clube de Ossos;Terremoto;Rolagem,Água;Gelo;Planta,
106,Hitmonlee,Lutador,50,120,53,35,87,Chute Duplo;Mega Chute;Chute de Pulo Alto,Voador;Psíquico,
107,Hitmonchan,Lutador,50,105,79,35,76,Soco Cometa;Soco de Fogo;Soco de Gelo,Voador;Psíquico,
108,Lickitung,Normal,90,55,75,60,30,Lamber;Tapa;Pisoteio,Lutador,
109,Koffing,Veneno,40,65,95,60,35,Investida;Minimizar;Fumaça,Terra;Psíquico,Weezing
110,Weezing,Veneno,65,90,120,85,60,Bomba de Lodo;Autodestruição;Gás Venenoso,Terra;Psíquico,
111,Rhyhorn,Terra;Pedra,80,85,95,30,25,Chifrada;Pisoteio;Perfurar,Água;Planta;Lutador;Terra;Gelo,Rhydon
112,Rhydon,Terra;Pedra,105,130,120,45,40,Terremoto;Megachifre;Quebra-rocha,Água;Planta;Lutador;Terra;Gelo,
113,Chansey,Normal,250,5,5,105,50,Tapa Duplo;Canto;Ovo Bomba,Lutador,
114,Tangela,Planta,65,55,115,100,60,Constrição;Chicote de Vinha;Esporo,Fogo;Gelo;Voador;Inseto;Veneno,
115,Kangaskhan,Normal,105,95,80,40,90,Mordida;Mega Soco;Fúria,Lutador,
116,Horsea,Água,30,40,70,70,60,Bolhas;Pistola d'Água;Agilidade,Elétrico;Planta,Seadra
117,Seadra,Água,55,65,95,95,85,Hidro Bomba;Pulso do Dragão;Raio de Gelo,Elétrico;Planta,
118,Goldeen,Água,45,67,60,50,63,Bicada;Peculiaridade;Jato d'Água,Elétrico;Planta,Seaking
119,Seaking,Água,80,92,65,80,68,Cascata;Megachifre;Agilidade,Elétrico;Planta,
120,Staryu,Água,30,45,55,70,85,Investida;Jato d'Água;Recuperar,Elétrico;Planta,Starmie
121,Starmie,Água;Psíquico,60,75,85,100,115,Psíquico;Raio de Gelo;Hidro Bomba,Elétrico;Planta;Inseto;Fantasma;Sombrio,
122,Mr. Mime,Psíquico,40,45,65,100,90,Barreira;Refletir;Confusão,Inseto;Fantasma;Sombrio,
123,Scyther,Inseto;Voador,70,110,80,55,105,Corte;Agilidade;Ataque de Asa,Fogo;Elétrico;Gelo;Pedra,
124,Jynx,Gelo;Psíquico,65,50,35,95,95,Tapa Duplo;Beijo Amoroso;Nevasca,Fogo;Pedra;Inseto;Fantasma;Sombrio,
125,Electabuzz,Elétrico,65,83,57,85,105,Soco do Trovão;Descarga;Relâmpago,Terra,
126,Magmar,Fogo,65,95,57,85,93,Soco de Fogo;Lança-chamas;Explosão de Fogo,Água;Terra;Pedra,
127,Pinsir,Inseto,65,125,100,55,85,Aperto;Guilhotina;Submissão,Fogo;Voador;Pedra,
128,Tauros,Normal,75,100,95,70,110,Investida;Fúria;Rugido,Lutador,
129,Magikarp,Água,20,10,55,20,80,Splash;Investida,Elétrico;Planta,Gyarados
130,Gyarados,Água;Voador,95,125,79,100,81,Mordida;Hidro Bomba;Fúria do Dragão,Elétrico;Pedra,
131,Lapras,Água;Gelo,130,85,80,95,60,Canto;Raio de Gelo;Hidro Bomba,Elétrico;Planta;Lutador;Pedra,
132,Ditto,Normal,48,48,48,48,48,Transformar,Lutador,
133,Eevee,Normal,55,55,50,65,55,Investida;Rosnar;Ataque Rápido,Lutador,Vaporeon;Jolteon;Flareon
134,Vaporeon,Água,130,65,60,110,65,Armadura ácida;Hidro Bomba;Surfar,Elétrico;Planta,
135,Jolteon,Elétrico,65,65,60,110,130,Agulha Dupla;Trovão;Relâmpago,Terra,
136,Flareon,Fogo,65,130,60,110,65,Brasa;Lança-chamas;Explosão de Fogo,Água;Terra;Pedra,
137,Porygon,Normal,65,60,70,75,40,Conversão;Auto-Recuperar;Psíquico,Lutador,
138,Omanyte,Pedra;Água,35,40,100,90,35,Retirada;Pistola d'Água;Lançamento de Rocha,Planta;Elétrico;Lutador;Terra,Omastar
139,Omastar,Pedra;Água,70,60,125,115,55,Poder Antigo;Hidro Bomba;Pico de Gelo,Planta;Elétrico;Lutador;Terra,
140,Kabuto,Pedra;Água,30,80,90,45,55,Arranhão;Endurecer;Absorver,Planta;Elétrico;Lutador;Terra,Kabutops
141,Kabutops,Pedra;Água,60,115,105,70,80,Corte de X;Hidro Bomba;Mega Saco,Planta;Elétrico;Lutador;Terra,
142,Aerodactyl,Pedra;Voador,80,105,65,60,130,Mordida;Agilidade;Ataque de Asa,Água;Elétrico;Gelo;Pedra,
143,Snorlax,Normal,160,110,65,65,30,Cabeçada;Amnésia;Descanso,Lutador,
144,Articuno,Gelo;Voador,90,85,100,125,85,Raio de Gelo;Nevasca;Agilidade,Fogo;Elétrico;Pedra,
145,Zapdos,Elétrico;Voador,90,90,85,125,100,Choque do Trovão;Trovão;Agilidade,Gelo;Pedra,
146,Moltres,Fogo;Voador,90,100,90,125,90,Brasa;Lança-chamas;Agilidade,Água;Elétrico;Pedra,
147,Dratini,Dragão,41,64,45,50,50,Envolver;Onda de Trovão;Fúria do Dragão,Gelo;Dragão,Dragonair
148,Dragonair,Dragão,61,84,65,70,70,Jato d'Água;Hiper Raio;Cauda do Dragão,Gelo;Dragão,Dragonite
149,Dragonite,Dragão;Voador,91,134,95,100,80,Explosão de Fogo;Trovão;Nevasca,Gelo;Pedra;Dragão,
150,Mewtwo,Psíquico,106,110,90,154,130,Psíquico;Barreira;Recuperar,Inseto;Fantasma;Sombrio,
151,Mew,Psíquico,100,100,100,100,100,Transformar;Metrônomo;Psíquico,Inseto;Fantasma;Sombrio,
